Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
1987,KYV,FC Dynamo Kyiv,2,Ukraine,East,1980,0,Kyiv,2884000,8056,Ukraine,UA,2
1987,RMA,Real Madrid CF,2,Spain,Big 5,1980,1,Madrid,6791667,342534,Spain,ES,50
1987,BEL,Red Star,1,Serbia,East,1980,0,Belgrade,1281802,16970,Serbia,RS,13
1987,AND,RSC Anderlecht,1,Belgium,Small,1980,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1987,BES,Beşiktaş,1,Turkey,Small,1980,0,Istanbul,15462452,237000,Turkey,TR,15
1987,BRO,Brøndby,1,Denmark,Small,1980,0,Copenhagen,1919370,118944,Denmark,DK,61
1988,PSV,PSV Eindhoven,4,Netherlands,Small,1980,0,Eindhoven,753778,46945,Netherlands,NL,62
1988,BEN,SL Benfica,3,Portugal,Small,1980,0,Lisbon,2976356,122547,Portugal,PT,41
1988,RMA,Real Madrid CF,2,Spain,Big 5,1980,1,Madrid,6791667,342534,Spain,ES,50
1988,STE,Steaua Bucaresti,2,Romania,East,1980,0,Bucuresti,2400000,53900,Romania,RO,22
1988,BMN,FC Bayern,1,Germany,Big 5,1980,0,München,2883373,241407,Germany,DE,83
1988,GIR,FC Girondins Bordeaux,1,France,Big 5,1980,0,Bordeaux,1262357,52617,France,FR,41
1988,RAN,Rangers FC,1,Scotland,Small,1980,0,Glasgow,1830710,65684,Scotland,UK,35
1988,AND,RSC Anderlecht,1,Belgium,Small,1980,0,Bruxelles / Brussel,2659855,198355,Belgium,BE,74
1989,MIL,AC Milan,4,Italy,Big 5,1990,1,Milano,5145657,301366,Italy,IT,58
1989,STE,Steaua Bucaresti,3,Romania,East,1990,0,Bucuresti,2400000,53900,Romania,RO,22
1989,GAL,Galatasaray,2,Turkey,Small,1990,0,Istanbul,15462452,237000,Turkey,TR,15
1989,RMA,Real Madrid CF,2,Spain,Big 5,1990,1,Madrid,6791667,342534,Spain,ES,50
1989,MON,As Monaco,1,France,Big 5,1990,0,Monaco,39244,7424,France,FR,189
1989,IFK,IFK Goteborg,1,Sweden,Small,1990,0,Goteborg,1021831,51286,Sweden,SE,50
1989,BRE,Werder Bremen,1,Germany,Big 5,1990,0,Bremen,1274611,62088,Germany,DE,48
